Навыки
['Работа в команде', 'Базовые знания ПК']
['Разработка конструкторской документации', 'Разработка рабочей документации', 'Разработка технической документации', 'Разработка исполнительной документации', 'Разработка тендерной документации']
['Ведение истории болезни', 'Проведение лабораторной диагностики', 'Проведение инструктажей', 'Проведение функциональной диагностики']
['Деревообработка', 'Разработка пользовательских сценариев', 'Токарная обработка']
['Ответственность', 'Стрессоустойчивость']
['Microsoft Office', 'Microsoft Outlook', 'Microsoft Project', 'Microsoft Paint', 'Microsoft Visio', 'Microsoft Access', 'Microsoft SQL Server']
['Выполнение сантехнических работ', 'Выполнение электротехнических работ', 'Выполнение шиномонтажных работ', 'Выполнение электромонтажных работ']
['Обучаемость и адаптивность', 'Целеустремленность и работоспособность']
['Знание складских программ', 'Знания в области электротехники']
['Работа с возражениями', 'Работа с конфликтами', 'Работа с ЕГАИС', 'Работа с возвратами']
['Управление легковыми автомобилями и небольшими грузовиками', 'Диагностика автомобилей']
['Креативное мышление', 'Позитивное мышление']
['Расчетно-кассовое и операционное обслуживание', 'Инкассация']
['BPMN', 'SQL', 'Компьютерные сети, маршрутизация, протоколы', 'ПК ЛИРА', 'БАЗИС-Мебельщик', 'Рассылка сообщений']
['Использование правовой поддержки', 'Анализ финансово-хозяйственной деятельности', 'Оценка знаний учеников']
['Работа с подрядчиками', 'Работа с формами отчетности КС']
['Формирование технических заданий', 'Проектирование СКУД и СОТ', 'Проектирование проводных систем связи']
['Функциональная диагностика', 'Гинекология и акушерство', 'Ортопедия и травматология', 'Актерское мастерство', 'Порошковое окрашивание', 'Рентгенодиагностика', 'Гастроэнтерология']
['1С: Альфа-Авто', '1С: Комплексная автоматизация', 'МойСклад']
['Знание особенностей страхования', 'Знание особенностей страхования наземного транспорта', 'Знание особенностей медицинского страхования']
['Знание английского языка', 'Знание русского языка', 'Знание испанского языка']
['CAD/САПР', 'SCAD Office', 'AutoCAD Civil 3D', 'nanoCAD', 'P-CAD', 'MagiCAD']
['Прототипирование', 'QA / Тестирование', 'Кредитование', 'Протоколирование']
['Управление базами данных', 'Составление графиков']
['Работа с поставщиками', 'Работа с WMS-системами', 'Работа с ERP-системами']
['Canva', 'amoCRM', 'NX', 'Формовка', 'ANSYS', 'ZBrush', 'Шлифовка', 'CREDO', 'Keynote', 'Парус', 'SIEM', 'CATIA', 'myTarget', 'Houdini', 'Active Directory', 'Confluence']
['Бюджетирование', 'Медиапланирование']
['Обеспечение сохранности ТМЦ', 'Обеспечение внутренней логистики']
['Выполнение строительно-монтажных работ', 'Контроль выполнения строительных работ']
['Проактивность', 'Инициативность', 'Активность']
['Монтаж инженерных сетей и систем', 'Ввод оборудования в эксплуатацию', 'Эксплуатация электрооборудования']
['Организация семинаров', 'Организация выставок', 'Организация PR-кампаний']
['Blender', 'GameDev']
['1С: Предприятие. Управление производственным предприятием']
['Обслуживание клиентов в заведениях общественного питания', 'Открытие и обслуживание банковских карт']
['Реаниматология', 'Рентгенология', 'Реабилитология', 'Урология']
['R-Keeper', 'Ресторанный менеджмент']
['Яндекс.Директ', 'Яндекс.Метрика']
['Написание и редактирование текстов', 'Написание статей']
['Работа с лидерами мнений и блогерами', 'Оценка эффективности рекламных инструментов', 'Навыки оценки эффективности рекламных инструментов']
['SolidWorks', 'КОМПАС-3D']
['Администрирование серверов и рабочих станций', 'Программирование станков с ЧПУ', 'Администрирование Windows']
['Знание технических характеристик, конструкции и устройства грузовых автомобилей и спецтехники', 'Ремонт транспортных средств']
['Управление складом']
['Figma', 'Моушн-дизайн']
['Монтаж металлоконструкций', 'Техническая поддержка', 'Навыки сварки и монтажа']
['ABC-анализ', 'Анализ целевой аудитории', 'Анализ потребителей']
['Терапевтическая стоматология', 'Ортопедическая стоматология', 'Хирургическая стоматология', 'Работа по технологическим и технико-технологическим картам']
['1С: Документооборот']
['Знания в области общей психологии', 'Знания в области гидравлики', 'Знания в области детской психологии']
['Разработка и внедрение системы KPI', 'Разработка программного обеспечения']
['SketchUp', 'Autodesk Inventor']
['Системное и интегративное мышление']
['Веб-аналитика']
['Работа с документами']
['Аппаратная косметология', 'Эстетическая косметология', 'Инъекционная косметология']
['Промышленный дизайн']
['Техническое обслуживание и ремонт промышленного оборудования и станков', 'Техническое обслуживание и ремонт оборудования']
['Adobe Photoshop Lightroom', 'Adobe Flash Player', 'Adobe Creative Suite', 'Adobe Substance 3D Painter']
['Взаимодействие со СМИ', 'Взаимодействие с водителями']
['Управление затратами', 'Управление трактором', 'Управление погрузчиком', 'Управление рисками', 'Управление гостиницей']
['Прием груза']
['Знание общих нормативно-правовых актов РФ', 'Знание локальных нормативных актов в строительной сфере']
['Организация и проведение рекламных кампаний']
['Обеспечение информационной безопасности']
['1С: Управление автотранспортом']
['Работа с измерительными приборами и инструментами', 'Работа с системами теплоснабжения']
['Умение работать с детьми', 'Применение методов BTL', 'Применение методологии IDEF']
['Разработка нормативной документации']
['Продажа автозапчастей']
['Проведение закупок', 'Проведение интервью', 'Проведение тест-драйвов']
['Производственное планирование']
['Tilda', 'WordPress', 'Javascript', 'Арбитраж трафика', 'Пайка']
['Ведение кадрового учета']
['Работа в бригаде скорой помощи', 'Работа с вакуумным и насосным оборудованием', 'Работа с холодильным оборудованием', 'Работа с пневматическим инструментом', 'Работа с автоматическими телефонными станциями']
['Контроль качества сырья и готовой продукции', 'Андеррайтинг', 'Объектно-реляционное отображение']
['Управление проектами']
['Продажа легковых автомобилей']
['Работа с оргтехникой']
['Обслуживание ПК']
['Продвижение продукта']
['Научно-исследовательская работа', 'Претензионная работа', 'Токарно-фрезерная обработка']
['Управление ассортиментом', 'Управление мостовым краном']
['Разработка сметной документации', 'Разработка документации']
['Тендерная деятельность', 'Внешнеэкономическая деятельность']
['Ремонт легковых автомобилей', 'Ремонт грузовых автомобилей']
['Упаковка товаров', 'Финансовый анализ', 'SWOT- и PEST-анализ']
['Google Analytics', 'Google Docs', 'Google AdWords']
['Битрикс', 'Google Sheets']
['Разработка чертежей']
['Формирование маршрутов']
['Аудит системы управления охраной труда']
['Спортивный массаж']
['Внимательность', 'Доброжелательность', 'Самостоятельность']
['Инженерная защита окружающей среды']
['Строительство малоэтажных зданий', 'Строительство коттеджных зданий', 'Строительство монолитных зданий']
['Логическое мышление']
['Разработка должностных инструкций']
['Техническая грамотность']
['Разработка локальных нормативных актов']
['Проектирование электронных и электрических схем', 'Проектирование электрических схем']
['Подготовка и проведение планово-предупредительных ремонтов', 'Юридическое сопровождение']
['Бронирование товаров и услуг']
['Администрирование сайтов']
['Разработка маркетинговых стратегий']
['Организация работы склада']
['Front-end разработка']
['Проектирование зданий и сооружений']
['Аудит']
['1С: Производство']
['Ремонт и обслуживание спецтехники']
['Autodesk 3Ds Max']
['Грамотная речь']
['Microsoft PowerPoint', 'Microsoft Power BI']
['Проектирование и монтаж печатных плат', 'Проектирование и монтаж систем пожаротушения и дымоудаления']
['Приготовление кофе', 'Составление карты пути клиента (CJM)']
['Консультирование и ведение клиентов']
['1С: Бухгалтерия', '1С: Розница']
['Телефонные продажи']
['Тонировка стекол автомобиля', 'Подбор и закупка автозапчастей']
['Оптимизация бизнес-процессов']
['Монтаж видео']
['Выполнение производственного технического контроля']
['Продажи']
['Управление продуктом']
['Знание и соблюдение санитарных норм']
['Создание презентационных материалов']
['Ремонт гаджетов, бытовой техники и оргтехники', 'Ремонт двигателей']
['Ведение кадрового документооборота']
['Визуализация данных']
['Ведение складского учета']
['Управление брендом']
['Анализ продаж']
['Контроль качества']
['Чтение проектной документации']
['Управление персоналом']
['Лидерство']
['AutoCAD']
['Подбор персонала']
['Ведение складского документооборота']
['Разработка логистических схем']
['1С: Логистика']
['1С: Зарплата и управление персоналом']
['Физическая выносливость']
['Ремонт помещений']
['Информационная грамотность']
['Управление электропогрузчиком', 'Управление дизельным погрузчиком']
['Работа на кассе']
['Анализ конкурентной среды']
['Adobe Illustrator', 'Adobe InDesign']
['Мерчандайзинг']
['Рисование']
['Обработка и ретушь фотографий']
['Ведение отчетности']
['Умение преподавать']
['Управление производством']
[' Управление строительной организацией']
['Разработка архитектурных решений']
['Аналитическое мышление']
['Публичные выступления и проведение презентаций']
['Клиентоориентированность']
['Отделка помещений']
['Окрашивание волос']
['Аренда и продажа недвижимости']
['Разработка стратегии']
['Кузовной ремонт автомобилей', 'Ремонт ходовой части автомобиля']
['Взаимодействие с клиентами и заказчиками']
['Организация и управление бизнес-процессами']
['Банковские кассовые операции']
['Контроль сроков годности']
['Системный анализ', 'Сбор и анализ требований', 'Сбор и анализ бизнес-требований']
['Проведение аварийно-восстановительных работ']
['Прохождение и проведение экспертиз']
['Настройка таргетированной рекламы']
['Оценка недвижимости']
['Участие в профессиональных выставках', 'Создание промо-роликов и анонсов']
['Организация и планирование складского хозяйства']
['Знание основ в области маркетинга']
['Чтение чертежей']
['Коммуникативная грамотность']
['Организация процесса строительства']
['Поиск и привлечение новых клиентов']
['Многозадачность']
['Управленческое консультирование']
['Организаторские навыки']
['Управление грузовым автомобилем']
['Проведение маркетинговых исследований']
['Аудит SMM']
['Работа с архивами']
['Чтение технической документации']
['Управление лояльностью клиентов']
['Графический дизайн']
['UI/UX Дизайн']
['Классический массаж', 'Косметологический массаж']
['Продажа страховых продуктов']
['Коучинг и проведение тренингов']
['Microsoft Excel', 'Microsoft Word']
['Ведение бухгалтерского учета']
['1С: Управление торговлей']
['3D моделирование']
['Умение принимать решения']
['Гарантийное обслуживание']
['Разработка BI', 'Разработка 1С']
['Прием и обслуживание клиентов']
['Самоорганизованность']
['Продвижение в социальных сетях']
['Анализ данных']
['Проведение инвентаризаций']
['Разработка проектной документации']
['Покраска']
['Изготовление печатной продукции']
['Выполнение ремонтных работ', 'Выполнение слесарных работ']
['Статистическая обработка данных']
['Поисковая оптимизация сайтов (SEO)']
['Чтение электрических схем']
['Умение мотивировать и адаптировать персонал']
['Экономический анализ']
['Управление и планирование продаж']
['Проектно-конструкторская деятельность']
['Adobe Photoshop']
['Веб-дизайн']
['Ведение документооборота']
['Анализ рынка']
['Погрузочно-разгрузочные работы']
['Анализ ценообразования']
['Работа с жилой недвижимостью']
['HTML/CSS']
['Знание, соблюдение и обеспечение техники безопасности', 'Знание, соблюдение и обеспечение пожарной безопасности']
['Видеосъемка', 'Фотосъемка']
['Работа с маркетплейсами']
['Знание базовых принципов разработки']
['Ландшафтные работы']
